|         line         | RAM[0] | RAM[1] | RAM[2] | RAM[3] | RAM[4] |argument|argument|local[0]|local[1]|local[2]|local[3]|local[4]|
| ONG.Math_multiply.47 |    284 |    278 |    271 |      0 |      0 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.48 |    285 |    278 |    271 |      0 |      0 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.49 |    284 |    278 |    271 |      0 |      0 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.50 |    285 |    278 |    271 |      0 |      0 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.51 |    284 |    278 |    271 |      0 |      0 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.52 |    284 |    278 |    271 |      0 |      0 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.53 |    283 |    278 |    271 |      0 |      0 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.55 |    284 |    278 |    271 |      0 |      0 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.56 |    285 |    278 |    271 |      0 |      0 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.57 |    284 |    278 |    271 |      0 |      0 |    256 |     63 |      0 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.58 |    283 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.59 |    284 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.60 |    285 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.61 |    286 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.62 |    285 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.63 |    284 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.64 |    285 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.65 |    284 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |      0 |      0 |      0 |
| ONG.Math_multiply.66 |    283 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |    284 |      0 |      0 |
| ONG.Math_multiply.67 |    284 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |    284 |      0 |      0 |
| ONG.Math_multiply.68 |    285 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |    284 |      0 |      0 |
| ONG.Math_multiply.69 |    284 |    278 |    271 |      0 |      0 |    256 |     63 |    256 |     63 |    284 |      0 |      0 |
| ONG.Math_multiply.70 |    283 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      0 |      0 |
| ONG.Math_multiply.71 |    284 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      0 |      0 |
| ONG.Math_multiply.72 |    285 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      0 |      0 |
| ONG.Math_multiply.73 |    284 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      0 |      0 |
| ONG.Math_multiply.74 |    283 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      1 |      0 |
| ONG.Math_multiply.75 |    283 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      1 |      0 |
| ONG.Math_multiply.34 |    284 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      1 |      0 |
| ONG.Math_multiply.35 |    285 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      1 |      0 |
| ONG.Math_multiply.36 |    284 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      1 |      0 |
| ONG.Math_multiply.37 |    285 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      1 |      0 |
| ONG.Math_multiply.38 |    286 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      1 |      0 |
| ONG.Math_multiply.39 |    285 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      1 |      0 |
| ONG.Math_multiply.40 |    284 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      1 |      0 |
| ONG.Math_multiply.41 |    284 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      1 |      0 |
| ONG.Math_multiply.42 |    283 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      1 |      0 |
| ONG.Math_multiply.76 |    284 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      1 |      0 |
| ONG.Math_multiply.77 |    283 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      1 |      0 |
| ONG.Math_multiply.78 |    283 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      1 |      0 |
| ONG.Math_multiply.82 |    284 |    278 |    271 |      0 |      0 |    512 |     63 |    256 |     63 |    284 |      1 |      0 |
| _createShiftedMap.83 |    272 |    266 |    261 |      0 |   2247 |    158 |    261 |   2247 |   3624 |      0 |      0 |   3624 |
| _createShiftedMap.45 |    271 |    266 |    261 |      0 |   2247 |    158 |    261 |   2247 |   3624 |      0 |      0 |   3624 |
| _createShiftedMap.46 |    270 |    266 |    261 |      0 |   3624 |    158 |    261 |   2247 |   3624 |      0 |      0 |   3624 |
| _createShiftedMap.47 |    271 |    266 |    261 |      0 |   3624 |    158 |    261 |   2247 |   3624 |      0 |      0 |    256 |
| _createShiftedMap.48 |    270 |    266 |    261 |      0 |   3624 |    158 |    261 |   2247 |   3624 |      0 |      0 |    256 |
| _createShiftedMap.49 |    271 |    266 |    261 |      0 |   3624 |    158 |    261 |   2247 |   3624 |      0 |      0 |      0 |
| _createShiftedMap.50 |    272 |    266 |    261 |      0 |   3624 |    158 |    261 |   2247 |   3624 |      0 |      0 |      0 |
| _createShiftedMap.51 |    271 |    266 |    261 |      0 |   3624 |    158 |    261 |   2247 |   3624 |      0 |      0 |      1 |
| _createShiftedMap.52 |    270 |    266 |    261 |      0 |   3624 |    158 |    261 |   2247 |   3624 |      0 |      1 |      1 |
| _createShiftedMap.53 |    270 |    266 |    261 |      0 |   3624 |    158 |    261 |   2247 |   3624 |      0 |      1 |      1 |
| _createShiftedMap.30 |    271 |    266 |    261 |      0 |   3624 |    158 |    261 |   2247 |   3624 |      0 |      1 |      1 |
| _createShiftedMap.31 |    272 |    266 |    261 |      0 |   3624 |    158 |    261 |   2247 |   3624 |      0 |      1 |      1 |
| _createShiftedMap.32 |    271 |    266 |    261 |      0 |   3624 |    158 |    261 |   2247 |   3624 |      0 |      1 |     -1 |
| _createShiftedMap.33 |    271 |    266 |    261 |      0 |   3624 |    158 |    261 |   2247 |   3624 |      0 |      1 |      0 |
| _createShiftedMap.34 |    270 |    266 |    261 |      0 |   3624 |    158 |    261 |   2247 |   3624 |      0 |      1 |      0 |
| _createShiftedMap.35 |    271 |    266 |    261 |      0 |   3624 |    158 |    261 |   2247 |   3624 |      0 |      1 |      1 |
| _createShiftedMap.36 |    272 |    266 |    261 |      0 |   3624 |    158 |    261 |   2247 |   3624 |      0 |      1 |      1 |
| _createShiftedMap.37 |    271 |    266 |    261 |      0 |   3624 |    158 |    261 |   2247 |   3624 |      0 |      1 |   3625 |
| _createShiftedMap.38 |    272 |    266 |    261 |      0 |   3624 |    158 |    261 |   2247 |   3624 |      0 |      1 |   3625 |
| _createShiftedMap.39 |    273 |    266 |    261 |      0 |   3624 |    158 |    261 |   2247 |   3624 |      0 |      1 |   3625 |
| _createShiftedMap.40 |    272 |    266 |    261 |      0 |   3624 |    158 |    261 |   2247 |   3624 |      0 |      1 |   3625 |
